Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,2,5,6,8	-1.1303442331802755	0.0	2.667518576989086	0.0	0.0	3.4435798784998872	-1.6813194836071403	0.0	2.5803386982229712	0.0	-3.803749288544205	1.0	0.10333333333333332	0.9319444444444445	0.85	0.9142857142857143	0.0	0.08491826135237998	0.05571158644480997	0.12247448713915891	0.06998542122237654
0,2,5,8,9	-1.9041272563338232	0.0	1.8472255999941734	0.0	0.0	2.2338913879267865	0.0	0.0	2.4991757516359314	2.6289711321987843	-5.268491105224468	0.9666666666666666	0.016666666666666666	0.9777777777777779	0.975	0.9657142857142856	0.1	0.049999999999999996	0.04444444444444447	0.075	0.06975174637562116
0,2,4,8,9	-1.8442414834929266	0.0	1.8966626735692451	0.0	-0.7417099437145358	0.0	0.0	0.0	2.8157514773393117	3.1344490086561114	-4.173061985693721	0.7	0.016666666666666666	0.8861111111111111	0.9666666666666666	0.7866666666666666	0.23333333333333334	0.049999999999999996	0.08624541497922235	0.1	0.1777638883463118
0,2,4,7,8	-1.755083408140122	0.0	1.924803553367168	0.0	-0.8739444932876534	0.0	0.0	3.2426584115766666	2.6050375788160824	0.0	-3.9906710244854744	0.7	0.016666666666666666	0.8861111111111111	0.9666666666666666	0.7866666666666666	0.23333333333333334	0.049999999999999996	0.08624541497922235	0.1	0.1777638883463118
0,2,5,7,8	-1.7691989662444925	0.0	1.8531320816386654	0.0	0.0	2.079029578096845	0.0	2.8643724689999788	2.4153130924271293	0.0	-5.324866092812384	0.9666666666666666	0.016666666666666666	0.9777777777777779	0.975	0.9657142857142856	0.1	0.049999999999999996	0.04444444444444447	0.075	0.06975174637562116
0,2,4,5,6	-1.7559293161663756	0.0	2.5972011453330133	0.0	-0.053394523418715756	3.077820728998957	-1.9820088342676048	0.0	0.0	0.0	-1.8886190573950707	0.7666666666666667	0.05	0.8847222222222222	0.9166666666666666	0.818095238095238	0.1527525231651947	0.07637626158259733	0.05009635776908731	0.12909944487358058	0.0781242687040603
0,2,4,6,9	-2.3650646963834197	0.0	1.8983722583957867	0.0	-1.2439268610042202	0.0	-0.09454363574307086	0.0	0.0	3.036920830117152	-2.1457837570969116	0.6333333333333334	0.05	0.8402777777777777	0.85	0.72	0.23333333333333334	0.07637626158259733	0.1223878297225567	0.22912878474779197	0.22271057451320087
0,2,6,7,9	-3.1933020692550267	0.0	1.3138617787262232	0.0	0.0	0.0	-0.8650124002870007	2.332755483484426	0.0	1.4344772152426637	-1.9903473013381947	0.8	0.11666666666666665	0.8541666666666666	0.8166666666666667	0.7980952380952382	0.22110831935702666	0.16749792701868152	0.17227261807458435	0.25495097567963926	0.22310120945405906
0,2,4,6,7	-2.3949817520707652	0.0	1.8352207182052793	0.0	-1.3743224071791413	0.0	-0.27722501911002734	3.618750096555515	0.0	0.0	-2.1176695152821807	0.7	0.05	0.8652777777777777	0.85	0.76	0.27688746209726917	0.07637626158259733	0.13861779097687515	0.22912878474779197	0.24979991993593592
0,2,5,7,9	-2.365045055491437	0.0	1.6352455102958021	0.0	0.0	2.9306452048253746	0.0	1.8169927374575643	0.0	1.3988416918277307	-4.6128992922298355	0.9666666666666666	0.03333333333333333	0.9666666666666666	0.95	0.9514285714285714	0.1	0.06666666666666667	0.05091750772173158	0.09999999999999999	0.0756468702564213
0,2,4,5,8	-1.438949652052218	0.0	2.6059988679460053	0.0	0.011841802553531977	2.5591837090119265	0.0	0.0	2.6700485828878735	0.0	-4.09017683178509	0.9333333333333332	0.10333333333333332	0.9083333333333332	0.85	0.8742857142857142	0.13333333333333336	0.08491826135237998	0.04614791034954487	0.12247448713915891	0.06663945022680343
0,2,7,8,9	-2.361115069576923	0.0	1.580252054627672	0.0	0.0	0.0	0.0	2.015947882360907	2.7770417638901366	1.271854078206888	-4.102562395530265	0.7	0.016666666666666666	0.8861111111111111	0.9666666666666666	0.7866666666666666	0.23333333333333334	0.049999999999999996	0.08624541497922235	0.1	0.1777638883463118
0,2,5,6,7	-2.245200886126243	0.0	2.035292393536815	0.0	0.0	3.1113409597440995	-1.4407418761011017	2.5844427758249218	0.0	0.0	-3.667031154060217	1.0	0.03333333333333333	0.9777777777777779	0.96	0.975	0.0	0.09999999999999999	0.06666666666666667	0.12	0.07500000000000002
0,3,4,5,7	-0.6607929205622486	0.0	0.0	-3.626552452247818	-0.9930255453556679	1.9874266723752645	0.0	1.8946525078908523	0.0	0.0	-0.4656635264891234	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,6,7,8	-2.0919805335052737	0.0	1.9094827093466713	0.0	0.0	0.0	-0.7828266224582223	3.260009673494733	3.0072868573253326	0.0	-4.16833468753488	0.8333333333333333	0.0	0.9444444444444444	1.0	0.89	0.223606797749979	0.0	0.07453559924999299	0.0	0.157797338380595
0,3,4,5,9	-0.7261702174292192	0.0	0.0	-3.6692335747024765	-0.9474279257919193	2.15313594731035	0.0	0.0	0.0	1.7216866550056689	-0.45570859408477793	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,6,8,9	-2.08849175403802	0.0	1.877431584570208	0.0	0.0	0.0	-0.6574573272997866	0.0	3.0876015438731668	3.083073959104585	-4.269844225950362	0.7	0.0	0.8972222222222221	1.0	0.8	0.23333333333333334	0.0	0.07837075544258824	0.0	0.17320508075688773
0,2,5,6,9	-2.3801648225189376	0.0	2.049286665297438	0.0	0.0	3.231195000978329	-1.4916246050867341	0.0	0.0	2.258811619320242	-3.4383303734780455	1.0	0.03333333333333333	0.9777777777777779	0.96	0.975	0.0	0.09999999999999999	0.06666666666666667	0.12	0.07500000000000002
0,2,4,7,9	-2.4329748649641383	0.0	1.778196964475996	0.0	-1.744115724486387	0.0	0.0	2.417772810920798	0.0	1.5903557912032558	-2.2993696041744154	0.7333333333333333	0.08333333333333333	0.8541666666666666	0.8166666666666667	0.7638095238095238	0.24944382578492943	0.11180339887498948	0.14071713374140005	0.22912878474779202	0.23171645821305553
0,3,4,6,8	-0.1532213127525175	0.0	0.0	-3.975736154883659	1.4694851468497365	0.0	0.6626385344085033	0.0	1.7757093094264558	0.0	-0.8909760680689631	0.7	0.03666666666666667	0.8722222222222221	0.8416666666666666	0.7323809523809524	0.348010216963685	0.07371114795831994	0.12120791238484127	0.3037954355593031	0.30908246923615007
0,3,5,6,8	0.3241546264639995	0.0	0.0	-3.450023831382174	0.0	2.985060172880513	-0.9348204978271063	0.0	1.6378634540085344	0.0	-1.1530447110930362	0.9666666666666666	0.016666666666666666	0.976388888888889	0.975	0.9657142857142859	0.1	0.049999999999999996	0.047324236215002285	0.075	0.06975174637562116
0,3,4,7,8	-0.7637636744703243	0.0	0.0	-3.9253457438195047	-0.27640387913734704	0.0	0.0	3.0668438431515	1.8112256059844003	0.0	-1.5009667166054832	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,3,4,5,6	-0.5382444851791591	0.0	0.0	-3.620365297523469	0.5194026413125095	2.736154168266717	-1.140397901410434	0.0	0.0	0.0	0.09056833041603346	0.8333333333333334	0.0	0.9402777777777779	1.0	0.9000000000000001	0.16666666666666669	0.0	0.05991570725034165	0.0	0.09999999999999998
0,3,4,6,7	-0.9195090129039143	0.0	0.0	-3.891302544767444	-0.783945760224359	0.0	-0.4930043765238355	3.3130948375359424	0.0	0.0	-0.20145977491609898	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,3,6,7,9	-1.7417405650845623	0.0	0.0	-3.9278092843496766	0.0	0.0	-0.6615437716089544	2.0157258614193188	0.0	1.4521054671985432	-0.33083560918233074	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,3,5,7,8	-0.8208797381206981	0.0	0.0	-3.5510008357863754	0.0	1.8143919556217345	0.0	1.831458212806058	1.7484622900106785	0.0	-1.730417726278945	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,3,4,5,8	-0.29145203778276907	0.0	0.0	-3.826547597447372	0.680346001569893	2.373747632216981	0.0	0.0	1.9393426226300057	0.0	-1.3907628817572912	0.9666666666666666	0.016666666666666666	0.976388888888889	0.975	0.9657142857142859	0.1	0.049999999999999996	0.047324236215002285	0.075	0.06975174637562116
0,3,5,8,9	-0.8518953992002614	0.0	0.0	-3.596973474087372	0.0	1.9615236181932452	0.0	0.0	1.769414975921227	1.7307321919736611	-1.7797440401087818	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,3,7,8,9	-1.0957412493873675	0.0	0.0	-3.9633920866728447	0.0	0.0	0.0	1.88049504698031	2.000509426987527	1.403286321829542	-1.8103079861232927	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
