Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	weight12	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,4,7,8,9,11,12	-1.8678694473751931	0.0	0.0	0.0	-7.565422928634336	0.0	0.0	-4.5649168384127226	-0.05583770042083509	1.8069789944650938	0.0	0.9305988308415436	5.089942587870778	1.0885111557882512	0.8958333333333334	0.035076923076923075	0.9307843137254903	0.9616653274261969	0.9266293658999215	0.05694661242485515	0.02138184818842054	0.03106330429156222	0.022717053224539856	0.03390981568668915
1,2,3,4,6,8,9	0.0	0.05672859390604238	0.6513037993932997	-5.509483299381451	-3.3852728696960446	0.0	-2.6606318849113344	0.0	0.14671478785484024	4.192154369390378	0.0	0.0	0.0	2.5546999614292645	0.968	0.12861538461538463	0.9189803921568627	0.8803794366552987	0.92165587460593	0.029933259094191523	0.03144789999667997	0.018698276087458676	0.02403890184686873	0.017517937505221227
0,4,6,7,10,11,12	-2.9293069904777993	0.0	0.0	0.0	-7.46232724099192	0.0	0.578617776476066	-3.404522929758906	0.0	0.0	-0.9267528816391989	0.8106685233128648	5.2307492368239235	1.948195692297127	0.8798333333333334	0.046615384615384614	0.9170196078431374	0.9506706481923874	0.9123474290116912	0.0534189417092227	0.04221135885716128	0.030409836729825442	0.04239398123193542	0.03233607059495918
1,2,3,4,5,10,12	0.0	0.38728567120665663	1.9433311446942316	-5.262387588496715	-4.733532719920426	0.31475298123029416	0.0	0.0	0.0	0.0	-1.288410606550642	0.0	4.264922425007493	-0.4791970991829647	0.976	0.16323076923076923	0.9051764705882354	0.8542806799758969	0.9104698811691041	0.036660605559646724	0.053786560429537014	0.03611711481160275	0.04291071622826668	0.03350809861220436
0,4,6,7,8,9,12	-1.9722573578503801	0.0	0.0	0.0	-7.591950071515475	0.0	0.37347161605643736	-4.874136923251433	0.11433630408975151	1.4888972087477415	0.0	0.0	4.884870306369782	2.120518030064443	0.8998333333333335	0.054461538461538464	0.9229803921568627	0.9420168020385411	0.9197492303119214	0.047960921592479853	0.031251603509156	0.031234106300421095	0.03248177592750951	0.03355365695848603
1,2,3,4,5,6,12	0.0	0.8100393431919409	1.5987758819429736	-4.7164002112582315	-4.0801382630661545	0.825006532432381	-0.4717686089799856	0.0	0.0	0.0	0.0	0.0	4.509643979582594	-1.61713505541806	0.976	0.2370769230769231	0.8676862745098038	0.8011157659544755	0.8793178743471521	0.0265329983228432	0.0557995143241997	0.030394155532004044	0.03887399260143045	0.026228354889607647
0,5,6,8,9,10,12	-3.1080708878553995	0.0	0.0	0.0	0.0	4.400906708433588	-1.6696168709216024	0.0	0.7034302660601659	0.9157285256986529	-0.8059830280626384	0.0	4.766127227905417	-2.7019376447841466	0.7511666666666666	0.15523076923076923	0.7985098039215687	0.8270267335004178	0.7834785247984049	0.09890525769644404	0.06858657553191636	0.05891464838158176	0.06689913201371102	0.0681549986316215
0,5,7,8,10,11,12	-2.7270744903368347	0.0	0.0	0.0	0.0	3.8516462949367556	0.0	-3.7445021259060782	3.0551331584803725	0.0	-0.9353369943021612	1.8827193013152097	5.744899978543068	-4.576453114710089	0.7431666666666666	0.057846153846153846	0.843921568627451	0.9315302419421412	0.821899574669712	0.09108741222949888	0.06488661024702333	0.05245411388844166	0.07439505661064647	0.0645725270697492
1,2,3,4,5,11,12	0.0	0.6864324972676075	1.3709064757961666	-5.191405308158932	-4.049531814177908	1.0202803269304939	0.0	0.0	0.0	0.0	0.0	0.5535975044085949	4.196379168862189	-1.7725716891797325	0.9640000000000001	0.23707692307692305	0.8617647058823529	0.7986036837601076	0.8729288013861517	0.03773592452822641	0.04924735297605272	0.03139766151784122	0.0339381841116329	0.028027959333658745
0,4,7,8,10,11,12	-2.3184457347998886	0.0	0.0	0.0	-7.431800531022908	0.0	0.0	-3.8390024199731165	1.785318266498588	0.0	-1.7224246673487205	0.4298463965671616	4.401238009461622	2.5189781559288384	0.8595	0.03892307692307693	0.9109411764705883	0.9572720467937857	0.9031341076671187	0.07837250793486193	0.02482649853655966	0.034895108382182	0.025975908012880675	0.0419871480867514
1,2,3,4,6,8,10	0.0	0.3441946057434967	1.7249693730918902	-5.343896460294264	-4.524753511036581	0.0	-1.1238434937389576	0.0	3.1687145511687063	0.0	-2.820499639529394	0.0	0.0	2.5920542096740737	0.952	0.12061538461538461	0.9149411764705884	0.886091308436136	0.9165464358002806	0.0530659966456864	0.0447065381819373	0.028290496146965074	0.03657607521408063	0.028873587202863295
0,6,8,9,10,11,12	-1.4433114542328183	0.0	0.0	0.0	0.0	0.0	-3.2534778062911713	0.0	0.4951019808242611	2.293850657542365	-1.0199057083550573	2.2014313613540777	5.726378349291527	-4.062822895975059	0.7753333333333334	0.2955384615384616	0.7392156862745098	0.7162885572282124	0.7425981893635821	0.10267748860712686	0.048222610032465016	0.057103748906505596	0.04595929006337063	0.06699354354803731
0,5,6,7,8,10,12	-2.8761012584356305	0.0	0.0	0.0	0.0	3.9598734881410165	0.7551592495826704	-4.390049395147612	2.9267234414524963	0.0	-0.6527629087541458	0.0	4.907232110078198	-2.3879201823422576	0.7511666666666666	0.14369230769230767	0.8044313725490196	0.8392160529528951	0.7891400505417719	0.08684612829596952	0.06892651090346473	0.05163353851050424	0.06614185353560563	0.058934008982243935
1,2,3,4,5,7,8	0.0	0.8619960171985662	1.1328015377251688	-4.6008643303857735	-3.4955994020422123	1.3236354864683384	0.0	-1.638580713864559	2.6542131160778646	0.0	0.0	0.0	0.0	0.8989429365796042	0.9236666666666666	0.20215384615384618	0.8597254901960785	0.8154346483656829	0.8655739241643792	0.05785902407288482	0.02754834373612233	0.034387953328197204	0.026895765257013596	0.03604274354098373
0,4,6,8,9,10,11	-2.428620783451566	0.0	0.0	0.0	-8.143677963974364	0.0	-2.5353914364753285	0.0	1.3802049602016748	0.4478222495673359	-2.5678222082073834	-0.2553016528487778	0.0	6.107796262142563	0.7515	0.050923076923076925	0.8517254901960785	0.9348672235692697	0.8292119159434718	0.10793632382103811	0.025655431850427946	0.05577663202218795	0.03478288180148053	0.07257363129546364
1,2,3,4,5,8,11	0.0	0.7200393017001553	1.1506682247367839	-5.481201755888494	-3.938644015299019	1.6139858201628325	0.0	0.0	1.665039467132869	0.0	0.0	0.4829267776429339	0.0	0.5815970675216237	0.96	0.2176923076923077	0.8696470588235294	0.8111825690531196	0.8785992969003074	0.04381780460041329	0.03894617739557774	0.024817798179884967	0.02698209673018332	0.023924652814337335
1,2,3,4,6,10,12	0.0	0.3174523150416119	2.0319379720383917	-5.190700830558546	-4.799708085708851	0.0	-0.18376213915642486	0.0	0.0	0.0	-1.2821813250860223	0.0	4.363695952193647	-0.34322754925257687	0.976	0.15923076923076923	0.9071764705882354	0.8571542431942877	0.9121533828526058	0.036660605559646724	0.052372132252624486	0.036328227316531056	0.04237049454141078	0.0338180021621636
1,2,3,4,7,9,12	0.0	-0.1590341630441726	0.5030304401404927	-5.153581000304465	-3.046012276264595	0.0	0.0	-3.3704887582527534	0.0	4.433166795821153	0.0	0.0	2.753843057701152	0.8643447482324842	0.992	0.074	0.9585098039215687	0.9300168273616549	0.9595459992092303	0.016000000000000014	0.03673960828000276	0.01634950826806296	0.031233445736083332	0.014979366601626054
1,2,3,4,6,7,8	0.0	0.2840714811199018	1.3393266420308716	-4.944556980155154	-3.895130785463491	0.0	1.232987979748367	-3.268526818790936	2.679498356669759	0.0	0.0	0.0	0.0	2.206522178667647	0.9400000000000001	0.17892307692307693	0.8795294117647059	0.8369096554168856	0.8845721447130993	0.04816637831516917	0.03953606697328373	0.02668557576414456	0.029981243735518505	0.02635620546070925
1,2,3,4,6,11,12	0.0	0.4559918376982476	1.6325576519696168	-4.76255626925657	-4.140657143431586	0.0	-0.6670714946795493	0.0	0.0	0.0	0.0	0.7051656169738861	4.918436634356133	-1.8032022765486875	0.9480000000000001	0.22153846153846155	0.8617647058823529	0.8062889550660686	0.8707322083839404	0.04749736834815167	0.042126886381656764	0.03164404582688081	0.03194891633817067	0.03076896091495805
0,5,6,8,9,11,12	-3.001476981268455	0.0	0.0	0.0	0.0	4.214302931230083	-1.753238244790084	0.0	-0.4327104918923035	1.6242397471628944	0.0	2.000420916950336	6.0877229828552775	-5.424672019721001	0.7351666666666666	0.08876923076923077	0.8242352941176471	0.8998956790954369	0.8025823382966241	0.09614355585962758	0.08605227529147755	0.057119043755598856	0.09224297832475037	0.06608455976952934
1,2,3,4,8,10,12	0.0	0.008956418372432062	1.8754554391474145	-5.639087107525041	-4.837368336521896	0.0	0.0	0.0	2.0785537943125916	0.0	-2.7067571919751274	0.0	3.1363548230387712	0.5228083396861979	0.96	0.10492307692307692	0.926941176470588	0.9001121005431351	0.9282823275415634	0.039999999999999994	0.04207516520023682	0.027776805826901795	0.03633892058238098	0.026926643094343897
1,2,3,4,5,7,9	0.0	0.36088372641260114	0.23012853109231238	-5.258032293295495	-2.7863304410177236	1.4846627222666169	0.0	-3.1095381401748496	0.0	4.809748706812686	0.0	0.0	0.0	1.6960529837387301	0.9758333333333333	0.07430769230769231	0.9505098039215685	0.9287877492877493	0.9513211958223057	0.01973786547054503	0.03774752627186277	0.020556502155121566	0.03224835819917947	0.01899280272278738
1,2,3,4,6,8,11	0.0	0.3667761905904463	1.559559732201784	-5.212282697425781	-4.273748041200521	0.0	-1.0494977898134217	0.0	2.0616912371708014	0.0	0.0	0.2571510638692378	0.0	1.8111001334310373	0.944	0.21000000000000002	0.8656862745098038	0.8140175238235583	0.8735601047856436	0.04079215610874226	0.03544643429376236	0.022526501970832204	0.02455362142239655	0.021599100770337398
