Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,8,10	-3.4021905465741136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7179104941276542	0.0	-1.9991671804966256	1.9137409788223951	0.5033846153846153	0.4005698005698005	0.5524310595065313	0.5476776950352663	0.5225140438182072	0.09802257921266384	0.08385898450995893	0.0700025612319939	0.07502987889851052	0.08305464019829098
1,2,3	0.0	-0.12711682418306275	5.6943421500856575	-6.489410834394382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3446878020958404	0.9572307692307692	0.27350427350427353	0.8399129172714078	0.7785991493344435	0.8561342920866686	0.03657399082317553	0.1065027992267393	0.04731606220921052	0.06544888033693186	0.034846038748473945
0,8,9	-3.6733899371075047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005003895704524419	1.0486835706376545	0.0	1.7282165767029318	0.662	0.5502849002849003	0.554245283018868	0.5326795775766364	0.5886666818515321	0.129819264441447	0.04653586928353863	0.06918321986537901	0.0597240029277219	0.08802322480767404
1,2,4	0.0	-0.11926424205475064	-3.782674922434695	0.0	-9.290667998083158	0.0	0.0	0.0	0.0	0.0	0.0	5.964693443183793	0.9343076923076923	0.2512820512820513	0.8399492017416545	0.7864771502567993	0.852295937884544	0.042401574158564694	0.0794514312694463	0.03671029163306681	0.05080696940618731	0.029574242041052926
1,2,5	0.0	2.2096637271998176	0.07867852902583687	0.0	0.0	5.203866895692765	0.0	0.0	0.0	0.0	0.0	-4.096101783858481	0.3253846153846154	0.08988603988603987	0.6227503628447024	0.7808180708180708	0.4546881869462515	0.07142256948579113	0.03401219022908568	0.03484482521890524	0.0640643283838295	0.07539670191402992
0,9,10	-3.4648232020802423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3376531188056444	-1.432101072076844	1.926742411824971	0.6355384615384615	0.43760683760683755	0.5982220609579101	0.5780523755019573	0.6022451632405318	0.13804630043970303	0.07825635715134421	0.07677163701463444	0.08027057864641993	0.10637204551142314
1,2,6	0.0	0.507407488769635	2.267025313829844	0.0	0.0	0.0	-2.898839576790826	0.0	0.0	0.0	0.0	-0.6824281852783434	0.4456923076923077	0.2094017094017094	0.6208998548621191	0.6724264705882352	0.5350119213363684	0.06193353948878965	0.049886031750679856	0.04829537957172226	0.07766411709114533	0.06566704660808106
1,2,7	0.0	0.310899040178238	1.9589603709630847	0.0	0.0	0.0	0.0	-3.1697430627990992	0.0	0.0	0.0	-0.13687334044667976	0.44184615384615383	0.2727920227920228	0.5866835994194484	0.6141640866873065	0.5121853986929821	0.062024236530244865	0.07902645531572026	0.058381802830705314	0.09523495481241984	0.06760683963099322
1,3,4	0.0	-0.05454369390147584	0.0	-4.725731113082458	-6.268648574556266	0.0	0.0	0.0	0.0	0.0	0.0	4.020714673450561	0.9495384615384616	0.25484330484330486	0.8456095791001452	0.7906921103685891	0.8600427588595728	0.03481684962416156	0.11635909768874193	0.05329427861377156	0.07257574419223103	0.04014066367885485
1,2,8	0.0	-0.8474075406890854	1.466361255271226	0.0	0.0	0.0	0.0	0.0	1.7118635033866354	0.0	0.0	-1.3074385733880192	0.47261538461538455	0.4682336182336182	0.5029390420899855	0.4910329232171338	0.4793609717113988	0.09418048894033955	0.056766158349783935	0.038938308630697686	0.04261523281533618	0.06460901315195097
1,2,9	0.0	-0.9845552300726844	1.1250873125699363	0.0	0.0	0.0	0.0	0.0	0.0	2.0051968438551766	0.0	-0.9197619022058484	0.7361538461538462	0.6106837606837606	0.5597605224963715	0.5386443759605524	0.6213793776653191	0.07050536091078298	0.07759297310378968	0.05810707266487195	0.04449629735917031	0.05069351201734771
1,3,7	0.0	-0.08764938095286699	0.0	-4.535535321141872	0.0	0.0	0.0	0.10510504570419588	0.0	0.0	0.0	2.2315677469204833	0.8876923076923078	0.42706552706552703	0.7277576197387519	0.6781961172523785	0.7635866260815002	0.0795668748535752	0.15508863059629044	0.06681764260660532	0.07509307772571515	0.046847369394899474
1,2,10	0.0	-0.6499046944671542	3.0435122057267967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.9375835507813655	-1.137158456482467	0.49569230769230765	0.3746438746438746	0.5616473149492017	0.5674599954284625	0.5257391086928229	0.09012233631546941	0.12149251886165466	0.08111384193697287	0.09636294126789216	0.08231756764499633
1,3,8	0.0	-0.4007921378484543	0.0	-5.221916732647416	0.0	0.0	0.0	0.0	2.597758115888694	0.0	0.0	1.407999594415103	0.8249230769230771	0.28803418803418807	0.7676705370101597	0.7393238253795877	0.775483497397554	0.0995963450768286	0.09869811059369032	0.05766766778550647	0.06029137005177649	0.05907672545224864
1,3,9	0.0	-1.0335292781565848	0.0	-6.21669222848801	0.0	0.0	0.0	0.0	0.0	3.4951654237956404	0.0	1.761449132124342	0.8446153846153847	0.17535612535612538	0.8345428156748913	0.8243785524820006	0.8335357390819575	0.05282549142581351	0.06080285385936154	0.04670221511785267	0.05339835771020544	0.046729490736255555
1,3,5	0.0	1.9184129818571989	0.0	-4.584442358648856	0.0	3.496295470140597	0.0	0.0	0.0	0.0	0.0	-0.6364009700386999	0.9418461538461539	0.32549857549857547	0.8059869375907113	0.7445113525758688	0.8287047086383155	0.04638812335248842	0.12692819287447007	0.058460362447329085	0.0706271969509603	0.042853448121851746
1,3,6	0.0	-0.04463558569431657	0.0	-4.656154818741441	0.0	0.0	0.2894760438109964	0.0	0.0	0.0	0.0	2.159835681310046	0.9067692307692308	0.43447293447293445	0.7334179970972423	0.676552048920203	0.7714344328116318	0.07369278946365723	0.146668315847078	0.07677163701463444	0.07537798229533985	0.05719463147503067
1,3,10	0.0	-0.13641220105164026	0.0	-4.496537934493766	0.0	0.0	0.0	0.0	0.0	0.0	-0.06192445757845666	2.3339974939128068	0.8876923076923078	0.4196581196581196	0.7314223512336719	0.6830933180240605	0.7677323495151902	0.03996448127166935	0.15933059576886704	0.06796727315424662	0.07966662262158601	0.04160643073153027
1,4,5	0.0	1.3303861098788607	0.0	0.0	-7.425480197546302	2.2618937414459372	0.0	0.0	0.0	0.0	0.0	0.41882425451494465	0.7133846153846153	0.1952991452991453	0.7597605224963716	0.7848227562758455	0.7444925760603865	0.06031495246723037	0.07195762879443711	0.032693676888928165	0.05296861506366831	0.03312034711723846
1,4,6	0.0	0.43478658335684184	0.0	0.0	-8.106780561025683	0.0	-1.5973551004032367	0.0	0.0	0.0	0.0	3.2349241592444273	0.8330769230769232	0.18717948717948718	0.8227503628447025	0.814795215866406	0.8220075228790182	0.058805667319364215	0.07256628933938561	0.04655093905298635	0.058852823164555125	0.04587433238166761
1,4,7	0.0	0.5197320185850564	0.0	0.0	-8.233604409665855	0.0	0.0	-2.395412235441864	0.0	0.0	0.0	3.6620046017365935	0.8606153846153847	0.19857549857549858	0.8303701015965167	0.8147797074933507	0.8334954745470823	0.06748640012019778	0.09979077307670697	0.048311855815928464	0.06889070119865048	0.042997930509365186
1,4,9	0.0	-0.1501495928148994	0.0	0.0	-7.827856052106003	0.0	0.0	0.0	0.0	0.5221704179018396	0.0	2.2306188491429597	0.7366153846153846	0.2101139601139601	0.7634978229317853	0.7763170286676598	0.7533253370708347	0.0683457967178237	0.07615222605268848	0.0450333399880396	0.0568708071363357	0.046763183115694926
1,4,8	0.0	0.034982759926846144	0.0	0.0	-7.79299461107774	0.0	0.0	0.0	-0.18116474966411886	0.0	0.0	2.4571343650850146	0.7250769230769231	0.22521367521367522	0.7502902757619739	0.7610189520624303	0.74037970792347	0.05780624646331497	0.07065713741675107	0.037685156304658095	0.051552077464844775	0.037212782246970603
1,6,8	0.0	0.6130896504854675	0.0	0.0	0.0	0.0	-3.6174720615977973	0.0	2.5795088102930683	0.0	0.0	0.19464240989295534	0.4767692307692307	0.14572649572649574	0.6685050798258346	0.767487536972831	0.585764280623895	0.05945093944744213	0.08232102404852434	0.05833346749719579	0.11050629308329081	0.06960296627238335
1,4,10	0.0	0.12244332507526087	0.0	0.0	-8.753103377342303	0.0	0.0	0.0	0.0	0.0	-2.12184192921767	3.4489781293132014	0.7558461538461538	0.1725071225071225	0.7923076923076924	0.8096210826210827	0.7806737900089085	0.060271771091718745	0.03532332709692176	0.03483241109640387	0.03277080104527267	0.039401523866855075
1,5,6	0.0	2.0430976587373255	0.0	0.0	0.0	4.124391255153999	-1.255090647300683	0.0	0.0	0.0	0.0	-2.75566696684866	0.35276923076923083	0.14173789173789172	0.6096153846153847	0.7389331338596044	0.4679401324459464	0.0705181163512456	0.09882231587477074	0.05038669321954286	0.15280953686282658	0.06695716491265107
