shotNO,time,type,nel,B,Pech,Pnbi-tan,Pinput,Prad,Prad_over_Pinput,Wp,beta,Rax,rax_vmec,a99,D/(H+D),CIII,CIV,OV,OVI,FeXVI,Ip,Isat@7L,SDLloop_dPhi,SDLloop_dPhi_ext,SDLloop_dTheta
114282,3.906,0,8.857888,-2.5385,0.0,-11.434352,-11.434352,1908.027697,,0.261641,0.334939,3.9,3.9465,0.52353,,-159.934,2.39744,12.058,0.83646,,-2.7123,0.060217,0.000674,0.000576,0.200165
114282,3.916,0,9.018043,-2.5385,0.0,-11.426196,-11.426196,1940.057389,,0.261696,0.335009,3.9,3.948529,0.52398,,-159.934,1.89258,13.0053,0.90478,,-2.6236,0.057698,0.000677,0.000576,0.201675
114282,3.926,0,9.178197,-2.5385,0.0,-11.419578,-11.419578,1918.858304,,0.26337,0.337152,3.9,3.950559,0.52443,,-159.934,1.9629,13.3471,0.85788,,-2.4991,0.057698,0.000679,0.000576,0.20335
114282,3.936,0,9.338351,-2.5385,0.0,-11.370902,-11.370902,1909.81029,,0.263368,0.337149,3.9,3.952588,0.52488,,-159.934,2.76854,16.643,0.89404,,-2.4006,0.055979,0.000677,0.000576,0.201106
114282,3.946,0,9.356862,-2.5385,0.0,-11.385912,-11.385912,1886.019345,,0.262164,0.335608,3.9,3.9534,0.523558,,-159.934,2.33006,17.7904,0.91062,,-2.3504,0.054339,0.000677,0.000576,0.206603
114282,3.956,0,9.280944,-2.5385,0.0,-11.428978,-11.428978,1877.139786,,0.261116,0.334266,3.9,3.9534,0.521055,,-159.934,2.34182,14.558,0.9194,,-2.7707,0.054113,0.00068,0.000576,0.203317
114282,3.966,0,9.205026,-2.5385,0.0,-11.423908,-11.423908,1926.901041,,0.262307,0.335792,3.9,3.9534,0.518552,,-159.934,2.56056,8.95256,0.87448,,-2.9441,0.054113,0.000693,0.000576,0.197837
114282,3.976,0,9.135803,-2.5385,0.0,-11.396016,-11.396016,1933.566423,,0.261145,0.334304,3.9,3.9534,0.519166,,-159.934,2.00588,16.0668,0.85106,,-2.8972,0.053783,0.000683,0.000576,0.202344
114282,3.986,0,9.082203,-2.5385,0.0,-11.33836,-11.33836,1940.892853,,0.258671,0.331137,3.9,3.9534,0.527054,,-159.934,2.27636,13.9135,0.89016,,-2.9814,0.052274,0.000684,0.000576,0.203781
114282,3.996,0,9.028603,-2.5385,0.0,-11.397986,-11.397986,1916.455797,,0.26116,0.334323,3.9,3.9534,0.534942,,-159.934,2.4043,15.3197,0.87064,,-3.0568,0.054113,0.000684,0.000576,0.19892
114282,4.006,0,8.975003,-2.5385,0.0,-11.431132,-11.431132,1887.139334,,0.2616,0.334886,3.9,3.9534,0.54283,,-159.934,2.418,14.8803,0.88236,,-3.0055,0.054113,0.000687,0.000576,0.200273
114282,4.016,0,8.991694,-2.5385,0.0,-11.407488,-11.407488,1884.233462,,0.262725,0.336326,3.9,3.9534,0.533136,,-159.934,2.59862,13.9526,0.92044,,-2.9996,0.054339,0.00069,0.000576,0.199938
114282,4.026,0,9.008384,-2.5385,0.0,-11.392098,-11.392098,1869.623798,,0.263752,0.337641,3.9,3.9534,0.523442,,-159.934,2.83496,14.4262,0.92138,,-3.0146,0.055931,0.000687,0.000576,0.199476
114282,4.036,0,9.025074,-2.5385,0.0,-11.354272,-11.354272,1849.731795,,0.264285,0.338324,3.9,3.9534,0.513748,,-159.934,2.56058,14.4311,0.87452,,-2.9771,0.054339,0.00069,0.000576,0.199089
114282,4.046,0,9.015395,-2.5385,0.0,-11.358954,-11.358954,1849.162036,,0.265375,0.339718,3.9,3.9534,0.510139,,-159.934,2.50294,15.7738,0.94974,,-3.039,0.054339,0.000689,0.000576,0.201293
114282,4.056,0,8.988138,-2.5385,0.0,-11.414694,-11.414694,1824.607685,,0.26445,0.338535,3.9,3.9534,0.510588,,-159.934,2.52538,13.4154,0.95948,,-2.9687,0.054339,0.000692,0.000576,0.206644
114282,4.066,0,8.960881,-2.5385,0.0,-11.392268,-11.392268,1801.433701,,0.265326,0.339656,3.9,3.9534,0.511036,,-159.934,2.55954,17.2875,0.90282,,-3.2506,0.054339,0.000688,0.000576,0.203893
114282,4.076,0,8.941801,-2.5385,0.0,-11.372952,-11.372952,1786.29554,,0.265633,0.340049,3.9,3.954027,0.511605,,-159.934,2.30174,10.8471,0.84718,,-3.1129,0.055931,0.000689,0.000576,0.209225
114282,4.086,0,8.941801,-2.5385,0.0,-11.37243,-11.37243,1757.061702,,0.267672,0.342659,3.9,3.956118,0.512457,,-159.934,2.36326,16.0131,0.85012,,-3.2476,0.055979,0.000689,0.000576,0.210354
114282,4.096,0,8.941801,-2.5385,0.0,-11.38753,-11.38753,1757.469134,,0.269558,0.345074,3.9,3.958209,0.513308,,-159.934,2.4912,16.018,0.82762,,-3.4495,0.060276,0.000688,0.000576,0.213902
114282,4.106,0,8.941801,-2.5385,0.0,-11.415028,-11.415028,1729.869855,,0.269946,0.34557,3.9,3.9603,0.51416,,-159.934,2.54686,15.9154,0.80418,,-3.4484,0.060276,0.000686,0.000576,0.216115
114282,4.116,0,8.802065,-2.5385,0.0,-11.37847,-11.37847,1720.988788,,0.269944,0.345568,3.9,3.958271,0.513254,,-159.934,2.1865,22.1996,0.7466,,-3.4739,0.062646,0.000686,0.000576,0.218952
114282,4.126,0,8.662329,-2.5385,0.0,-11.402794,-11.402794,1702.682511,,0.26823,0.343373,3.9,3.956241,0.512348,,-159.934,2.23732,17.7416,0.75246,,-3.4776,0.062782,0.000686,0.000576,0.221469
114282,4.136,0,8.522594,-2.5385,0.0,-11.35458,-11.35458,1657.199189,,0.266167,0.340733,3.9,3.954212,0.511442,,-159.934,2.69142,15.3881,0.895,,-3.7973,0.065271,0.000686,0.000576,0.222374
114282,4.146,0,8.421917,-2.5385,0.0,-11.387914,-11.387914,1664.244921,,0.265519,0.339903,3.9,3.953345,0.51202,,-159.934,2.82812,17.4926,0.89306,,-3.7851,0.065289,0.000686,0.000576,0.224164
114282,4.156,0,8.347279,-2.5385,0.0,-11.447486,-11.447486,1640.748872,,0.264612,0.338742,3.9,3.953255,0.513587,,-159.934,2.98632,19.3969,0.92138,,-3.8514,0.070198,0.000686,0.000576,0.225648
114282,4.166,0,8.272642,-2.5385,0.0,-11.410002,-11.410002,1601.959796,,0.263563,0.337399,3.9,3.953164,0.515153,,-159.934,3.08202,15.9887,0.936,,-3.9911,0.071513,0.000685,0.000576,0.22891
114282,4.176,0,8.19526,-2.5385,0.0,-11.399632,-11.399632,1577.431194,,0.261412,0.334646,3.9,3.9531,0.516262,,-159.934,3.2344,21.6479,0.93112,,-4.0632,0.072974,0.000684,0.000576,0.229668
114282,4.186,0,8.111476,-2.5385,0.0,-11.371374,-11.371374,1549.674777,,0.260444,0.333407,3.9,3.9531,0.516301,,-159.934,3.6807,20.4809,0.9067,,-4.149,0.081195,0.000685,0.000576,0.232253
114282,4.196,0,8.027692,-2.5385,0.0,-11.416176,-11.416176,1535.407646,,0.257227,0.329289,3.9,3.9531,0.516341,,-159.934,3.67676,17.0385,0.88718,,-4.7025,0.083023,0.000685,0.000576,0.232681
114282,4.206,0,7.943907,-2.5385,0.0,-11.414792,-11.414792,1508.661256,,0.254592,0.325915,3.9,3.9531,0.51638,,-159.934,3.7383,14.8022,0.92626,,-4.4353,0.083712,0.000684,0.000576,0.233868
114282,4.216,0,7.949056,-2.5385,0.0,-11.418348,-11.418348,1497.896546,,0.25317,0.324095,3.9,3.9531,0.516506,,-159.934,3.92188,17.9272,0.8882,,-4.4973,0.083712,0.000685,0.000576,0.235473
114282,4.226,0,7.954205,-2.5385,0.0,-11.43409,-11.43409,1497.285277,,0.251752,0.32228,3.9,3.9531,0.516633,,-159.934,3.98142,23.2348,0.8589,,-4.5429,0.084299,0.000685,0.000576,0.236829
114282,4.236,0,7.959355,-2.5385,0.0,-11.40952,-11.40952,1477.408823,,0.24999,0.320024,3.9,3.9531,0.516759,,-159.934,4.14942,24.807,0.94578,,-4.5292,0.103013,0.000685,0.000576,0.236465
114282,4.246,0,7.958451,-2.5385,0.0,-11.430492,-11.430492,1485.49528,,0.24879,0.318487,3.9,3.953155,0.519392,,-159.934,4.08594,28.1274,0.99562,,-4.4892,0.109636,0.000686,0.000576,0.236039
114282,4.256,0,7.953511,-2.5385,0.0,-11.466196,-11.466196,1457.644805,,0.247459,0.316783,3.9,3.953245,0.523695,,-159.934,3.4658,31.7602,1.10794,,-4.2393,0.114348,0.000689,0.000576,0.235943
114282,4.266,0,7.948572,-2.5385,0.0,-11.42992,-11.42992,1408.867481,,0.247497,0.316833,3.9,3.953336,0.527998,,-159.934,2.53516,34.851,1.67334,,-4.0703,0.121556,0.000692,0.000576,0.236328
114282,4.276,0,7.942151,-2.5385,0.0,-11.393352,-11.393352,1356.272898,,0.25068,0.320907,3.9,3.952773,0.531355,,-159.934,2.28324,20.8959,1.5864,,-3.6737,0.125649,0.000697,0.000576,0.238379
114282,4.286,0,7.932273,-2.5385,0.0,-11.413288,-11.413288,1315.397269,,0.252382,0.323087,3.9,3.950682,0.532503,,-159.934,2.1514,19.4604,1.15866,,-3.4918,0.179579,0.000698,0.000576,0.240184
114282,4.296,0,7.922394,-2.5385,0.0,-11.455004,-11.455004,1285.167846,,0.251888,0.322454,3.9,3.948591,0.533652,,-159.934,2.32032,20.6908,1.1333,,-3.2848,0.203791,0.000698,0.000576,0.24287
114282,4.306,0,7.912516,-2.5385,0.0,-11.493062,-11.493062,1273.699156,,0.24975,0.319716,3.9,3.9465,0.5348,,-159.934,2.3076,14.1381,1.14012,,-3.4349,0.203791,0.000698,0.000576,0.243523
114282,4.316,0,7.925832,-2.5385,0.0,-11.468786,-11.468786,1266.098036,,0.248411,0.318002,3.9,3.948529,0.534888,,-159.934,2.25392,14.5385,1.07858,,-3.7543,0.242293,0.000697,0.000576,0.243584
114282,4.326,0,7.939149,-2.5385,0.0,-11.437856,-11.437856,1265.724669,,0.2479,0.317348,3.9,3.950559,0.534976,,-159.934,2.12502,16.0717,0.98972,,-3.653,0.246263,0.000696,0.000576,0.245079
114282,4.336,0,7.952465,-2.5385,0.0,-11.403384,-11.403384,1236.476294,,0.247144,0.316381,3.9,3.952588,0.535065,,-159.934,2.1074,14.1869,0.98878,,-3.7412,0.246263,0.000694,0.000576,0.245443
114282,4.346,0,7.91718,-2.5385,0.0,-11.457428,-11.457428,1241.47665,,0.247432,0.316749,3.9,3.952091,0.536373,,-159.934,1.8945,14.7924,0.92726,,-3.9077,0.248111,0.000692,0.000576,0.246661
114282,4.356,0,7.849494,-2.5385,0.0,-11.491076,-11.491076,1216.620393,,0.24723,0.316491,3.9,3.949909,0.538494,,-159.934,1.6152,15.8617,0.89892,,-4.1052,0.248111,0.00069,0.000576,0.250465
114282,4.366,0,7.781808,-2.5385,0.0,-11.482086,-11.482086,1206.474339,,0.247857,0.317293,3.9,3.947727,0.540615,,-159.934,1.73534,14.2113,0.92922,,-4.2918,0.25233,0.000686,0.000576,0.250795
