Detach Points (Label 1):
x: 0.00040147538082005565, y: 0.0005108960000000008
x: 0.00036100262249313855, y: 0.0005099980000000002
x: 0.002855727506865744, y: 0.0005112960000000008
x: 0.003243856814640953, y: 0.0005182260000000005
x: 0.008584973678938599, y: 0.000503294
x: 0.037494865976266785, y: 0.0005158000000000007
x: 0.0005493357329610181, y: 0.0004491570000000006
x: 0.0005628915748653534, y: 0.0004481440000000003
x: 0.0005604384456486548, y: 0.000450095
x: 0.0005835460306271373, y: 0.00044818800000000057
x: 0.0005719637271539334, y: 0.00044902400000000045
x: 0.0006173232404213195, y: 0.0004493600000000005
x: 0.000584813186554039, y: 0.00045244700000000046
x: 0.000498145103073934, y: 0.00045618100000000044
x: 0.009746216817108213, y: 0.0004686510000000006
x: 0.050092252972567336, y: 0.00048548700000000054
x: 0.0005559491908748108, y: 0.0004650320000000005
x: 0.0005763161642364405, y: 0.0004652600000000011
x: 0.0005573792740442779, y: 0.00046924400000000044
x: 0.000497201595443684, y: 0.00047246100000000025
x: 0.0005154757306067269, y: 0.00047230900000000056
x: 0.0005009207125638227, y: 0.0004722850000000007
x: 0.011493188454439059, y: 0.00048714400000000066
x: 0.09979911320045759, y: 0.0004981770000000007
x: 1.93957553943288, y: 0.0004791450000000006
x: inf, y: 0.0005242110000000006
x: 0.0006237960096745855, y: 0.0006709620000000011
x: 0.0006541415622935967, y: 0.0006683740000000007
x: 0.0002420075239656465, y: 0.0006675990000000009
x: 0.00043463766722695157, y: 0.000664835
x: 0.0004197393557423695, y: 0.0006788630000000008
x: 0.00036793476442158624, y: 0.0006677290000000011
x: 0.00035640416890933335, y: 0.000661451
x: 0.0005069132943691625, y: 0.0006716280000000006
x: 0.00039303673557872687, y: 0.0006598590000000007
x: 0.0005484854730423269, y: 0.0007248560000000006
x: 0.0005823628202386199, y: 0.0007192780000000006
x: 0.000763541220134043, y: 0.0007358390000000008
x: 0.0006043426028909367, y: 0.000720741000000001
x: 0.0010151691964137889, y: 0.0007187780000000005
x: 0.0008009587298529427, y: 0.0007310870000000006
