# nel,B,Pinput,Prad/Pinput,beta,CIII,CIV,OV,OVI,FeXVI
5.007713256653842926e-01,0.000000000000000000e+00,6.356205445789016029e-01,5.032646848143189633e-01,7.108122446429514518e-01,5.647521523897320872e-01,8.160802595072299548e-01,9.078718162268940572e-01,3.792092332382384079e-01,9.610039925170854591e-01
4.691058981970066544e-01,0.000000000000000000e+00,6.302187237159144750e-01,5.012233620637600584e-01,7.099710687323252944e-01,5.750254764794322515e-01,6.380267550366092166e-01,9.111510040585741876e-01,3.809620038007779375e-01,9.623920067813958035e-01
4.505264862075688548e-01,0.000000000000000000e+00,6.279820018852102503e-01,4.518050339763217682e-01,7.112676326027813634e-01,6.119878335603371466e-01,7.960463470976685274e-01,9.229491825752474954e-01,4.104920591451159950e-01,9.673859384847933729e-01
3.783314872021823483e-01,0.000000000000000000e+00,6.345773031075283566e-01,3.142353543355234091e-01,5.103900788390787202e-01,8.190761353316240445e-01,6.616078544941240702e-01,9.890506151127994583e-01,7.219144823831349367e-01,9.953653455706217290e-01
3.795338729482795603e-01,0.000000000000000000e+00,6.351604373050900865e-01,2.516858243826842756e-01,5.183547790176534775e-01,7.147297081232801830e-01,5.992789245726570790e-01,9.557438167101324211e-01,6.014058144582707932e-01,9.812672476102723973e-01
3.807378290773888452e-01,0.000000000000000000e+00,6.403502754998136037e-01,3.015181689506813978e-01,5.213181706681193628e-01,7.422049652984483714e-01,5.118788891878351954e-01,9.645137657757347771e-01,5.893661960169167546e-01,9.849793906850697889e-01
3.850423765365851292e-01,0.000000000000000000e+00,6.325228813579244491e-01,2.956881397524229182e-01,5.106234223506054271e-01,7.003324842062232936e-01,5.256001534630515559e-01,9.511483030218101931e-01,6.698602592060746153e-01,9.793220590823078497e-01
3.893284475695228952e-01,0.000000000000000000e+00,6.284750045219478221e-01,2.284754414556597890e-01,5.185144557859924230e-01,7.962450222353507634e-01,5.311337868096568382e-01,9.817630509714058151e-01,5.809790980611959643e-01,9.922806662233125685e-01
3.936017225260668440e-01,0.000000000000000000e+00,6.408767945798874432e-01,2.879461574084780651e-01,5.237666366616762215e-01,6.806453736366950835e-01,4.595340915659542613e-01,9.448642869762865493e-01,5.509831999509207101e-01,9.766621614625142778e-01
3.797691612694680252e-01,0.000000000000000000e+00,6.364078416341814037e-01,2.794687943484346349e-01,5.238538053322936427e-01,8.210928517193207821e-01,6.249402905176723033e-01,9.896943397515574059e-01,6.590320263314025651e-01,9.956378212648323567e-01
3.578375418642845140e-01,0.000000000000000000e+00,6.352056510557468894e-01,2.787096125006527370e-01,5.317900138744833249e-01,8.519734184327016902e-01,5.166223583517666196e-01,9.995512446557287545e-01,5.322216734562530416e-01,9.998100508872908021e-01
3.354920430265011522e-01,0.000000000000000000e+00,6.360884870293301852e-01,2.566069806225432792e-01,5.326300915203896480e-01,7.412066788870362855e-01,4.313022968500249688e-01,9.641951183132142500e-01,5.038895441823236787e-01,9.848445136222215845e-01
3.221022270348607996e-01,0.000000000000000000e+00,6.270114931146402171e-01,2.051962980111168289e-01,5.242587992267346841e-01,8.533793181021702701e-01,6.123534246041173468e-01,1.000000000000000222e+00,6.084787414159320562e-01,9.999999999999998890e-01
9.999999999999997780e-01,0.000000000000000000e+00,9.987745488278987338e-01,4.563007715434932443e-01,9.797446775362941285e-01,5.052912789837863405e-01,6.555431287444746236e-01,8.888922366057915303e-01,3.827144463838516586e-01,9.529703181449750149e-01
9.937223023459360594e-01,0.000000000000000000e+00,9.936105670015236146e-01,4.606231553189776839e-01,9.756076265266819814e-01,4.986705433778496621e-01,6.650229165949781418e-01,8.867789346748686796e-01,3.923197417642139140e-01,9.520757999363572699e-01
9.874109139091371556e-01,0.000000000000000000e+00,9.960660229917401853e-01,4.585669100386311481e-01,9.795282162760303724e-01,4.831956778521538931e-01,6.775186316988141000e-01,8.818394437870434865e-01,3.580245656746177119e-01,9.499850127772637709e-01
9.828378671120143739e-01,0.000000000000000000e+00,9.977377697563729608e-01,4.565403695466654366e-01,9.808996333378052768e-01,4.643267699234036594e-01,6.095513392481330950e-01,8.758165934674388975e-01,3.211206336296936747e-01,9.474356613571792707e-01
9.823933407015152941e-01,0.000000000000000000e+00,9.972254682373211665e-01,3.739650579043150014e-01,9.899674983263346828e-01,4.588727447297499817e-01,6.273315489148487689e-01,8.740756990020693840e-01,3.234944257862553130e-01,9.466987757395737280e-01
9.819486462001589810e-01,0.000000000000000000e+00,9.943486584954304153e-01,4.396139714907691953e-01,9.982965675270640826e-01,4.330072089686375358e-01,6.626198249309737109e-01,8.658195640464160237e-01,3.071489385176817688e-01,9.432041198446575736e-01
9.815037834807751604e-01,0.000000000000000000e+00,9.893977681191701290e-01,4.286485527011101304e-01,1.000000000000000222e+00,4.248094479220000386e-01,6.775570121558357473e-01,8.632028843781374139e-01,2.896277810114511464e-01,9.420965319628005208e-01
9.585674449814198805e-01,0.000000000000000000e+00,9.991633103556816220e-01,3.763818974527812777e-01,9.999931362313330130e-01,4.571140890430846482e-01,5.891333893261280208e-01,8.735143459017997714e-01,2.557728636380489640e-01,9.464611662611042142e-01
