Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	weight12	weight13	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
1,7,11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.296227416262165	0.0	0.0	0.0	0.0	0.0	0.0	-1.928414257489629	0.7166666666666666	0.0	0.8857142857142858	1.0	0.8099999999999999	0.24776781245530843	0.0	0.10583862271853747	0.0	0.17387735140993302
1,6,7	0.0	0.0	0.0	0.0	0.0	0.0	1.5428850298896142	1.4295512588355936	0.0	0.0	0.0	0.0	0.0	0.0	-1.6687473136281163	0.7166666666666666	0.0	0.8857142857142858	1.0	0.8099999999999999	0.24776781245530843	0.0	0.10583862271853747	0.0	0.17387735140993302
1,8,10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7075592859839239	0.0	4.707118727515295	0.0	0.0	0.0	-3.810027455191478	0.8833333333333332	0.0	0.9523809523809523	1.0	0.9266666666666667	0.18333333333333335	0.0	0.07299861769883757	0.0	0.1171893055416463
1,9,12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8039044813193152	0.0	0.0	0.4158591024671292	0.0	-1.8000558845151393	0.6	0.25	0.6857142857142857	0.6183333333333334	nan	0.3590109871423003	0.19364916731037085	0.1556931688025887	0.35185618905708876	nan
1,8,12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.482755177212732	0.0	0.0	0.0	0.7104547182778178	0.0	-1.5061795016859207	0.05	0.2	0.47619047619047616	0.03333333333333333	nan	0.15000000000000002	0.2179449471770337	0.09404008408634047	0.09999999999999999	nan
1,9,10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0849378268162604	4.367596687540891	0.0	0.0	0.0	-3.88425188555197	0.8	0.0	0.9190476190476191	1.0	0.8733333333333333	0.20816659994661327	0.0	0.0812320100439618	0.0	0.13482498944104454
1,10,11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5699198832701695	0.0	0.0	0.0	-3.2958687261723596	0.9333333333333332	0.05	0.9380952380952381	0.9416666666666667	0.9257142857142858	0.13333333333333336	0.10000000000000002	0.0761904761904762	0.11814539065631523	0.09231711097944863
1,10,13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.030732164516487	0.0	0.0	1.1908062914059474	-3.874520651174488	0.8333333333333333	0.0	0.9357142857142857	1.0	0.8933333333333333	0.21081851067789195	0.0	0.07900314296684313	0.0	0.13727506854649335
1,7,13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14337534804942	0.0	0.0	0.0	0.0	0.0	0.5365070642010564	-2.286145771705699	0.7166666666666666	0.0	0.8857142857142858	1.0	0.8099999999999999	0.24776781245530843	0.0	0.10583862271853747	0.0	0.17387735140993302
1,6,12	0.0	0.0	0.0	0.0	0.0	0.0	2.9801456993244817	0.0	0.0	0.0	0.0	0.0	1.435925169692863	0.0	-1.861707479722785	0.7166666666666666	0.125	0.8071428571428572	0.8333333333333333	0.738095238095238	0.24776781245530843	0.16770509831248423	0.14733074766099982	0.23273733406281572	0.20149104063402498
1,5,13	0.0	0.0	0.0	0.0	0.0	-2.2116868009532658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0400964319874455	-1.5005691102500773	0.7166666666666666	0.0	0.8857142857142858	1.0	0.8099999999999999	0.24776781245530843	0.0	0.10583862271853747	0.0	0.17387735140993302
1,11,13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.703075135110754	-1.611628925928547	1.0	0.5416666666666667	0.6857142857142857	0.585	0.7309523809523809	0.0	0.23935677693908453	0.13119026013291343	0.1205197079319395	0.09511897312113415
1,6,10	0.0	0.0	0.0	0.0	0.0	0.0	1.6065441584431845	0.0	0.0	0.0	2.8735486180505205	0.0	0.0	0.0	-3.075699462962441	0.7166666666666666	0.0	0.8857142857142858	1.0	0.8099999999999999	0.24776781245530843	0.0	0.10583862271853747	0.0	0.17387735140993302
1,7,10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8385506394100488	0.0	0.0	2.713256132146282	0.0	0.0	0.0	-3.04542563101835	0.7166666666666666	0.0	0.8857142857142858	1.0	0.8099999999999999	0.24776781245530843	0.0	0.10583862271853747	0.0	0.17387735140993302
