# nel,B,Pinput,Prad/Pinput,beta,D/(H+D),CIII,CIV,OV,OVI,FeXVI,RMP_LID,SDLloop_dPhi,SDLloop_dTheta
4.123569975383187258e-02,0.000000000000000000e+00,9.999999999999998890e-01,4.551385681749664514e-02,3.617169489894731527e-01,2.703648857073086553e-01,1.514242255546165428e-01,8.219421427571838024e-02,2.552282131475054339e-01,4.882728498993431643e-01,6.886162996250082546e-01,0.000000000000000000e+00,4.357650475098893139e-01,2.714270849524869078e-02
3.402966894382272733e-02,0.000000000000000000e+00,9.999999999999998890e-01,6.251950048930021708e-02,3.541166306398952912e-01,2.464732314143440739e-01,1.494070029115832643e-01,1.046147522088445303e-01,2.689729859910153786e-01,4.914932278572823332e-01,5.987636986979676390e-01,0.000000000000000000e+00,4.333196644895380700e-01,0.000000000000000000e+00
2.676787197949784258e-02,0.000000000000000000e+00,9.999999999999998890e-01,4.189293872326782520e-02,3.459242889376863417e-01,2.677958154414459280e-01,1.544618546131948378e-01,1.121652589225972108e-01,3.390840637813977709e-01,4.822281337403062640e-01,6.791216157625441507e-01,0.000000000000000000e+00,4.319331348820654171e-01,5.233337258636905354e-02
9.723787396630004243e-02,0.000000000000000000e+00,9.999999999999998890e-01,7.749274087474677941e-02,3.350550927923530153e-01,2.919659960515232910e-01,1.121524220144061168e-01,5.812486825686735692e-02,2.045962177557268391e-01,3.843545026726398195e-01,7.175852320772062587e-01,0.000000000000000000e+00,4.295782488606576521e-01,4.346910812642978961e-02
1.627899803485075292e-01,0.000000000000000000e+00,9.999999999999998890e-01,0.000000000000000000e+00,2.767711263896543983e-01,2.887002893026817674e-01,7.366882360808402197e-02,3.664701598596975529e-02,1.768949652426525243e-01,2.827704403669522026e-01,6.103780322865670627e-01,0.000000000000000000e+00,4.255491135047755336e-01,2.182569968311336428e-01
2.240540337729521603e-01,0.000000000000000000e+00,9.999999999999998890e-01,6.873503821777982026e-03,2.180477620366403357e-01,2.504689499736931779e-01,2.741046028618199237e-02,6.677793001422793751e-03,1.586870551803843399e-01,1.337021266875630943e-01,5.588578919079618679e-01,0.000000000000000000e+00,4.229889988567450132e-01,2.819247144850853815e-01
2.103985647556093352e-01,0.000000000000000000e+00,9.999999999999998890e-01,1.990639828507467790e-02,1.949424207071119852e-01,2.121221713973850953e-01,3.361273819559040810e-02,2.605360928509226071e-02,1.519751052574188632e-01,1.391933805422538306e-01,5.741859120308061559e-01,0.000000000000000000e+00,4.207649124061454415e-01,2.911949388944810035e-01
2.622027333994850773e-01,0.000000000000000000e+00,5.770980225923333373e-01,8.333196559234374856e-01,2.709858842517682831e-01,1.894534190542906948e-01,8.868528351627020800e-01,7.857744353039999297e-01,5.986493167646728120e-01,8.869516448536931552e-01,8.947092852712443811e-01,0.000000000000000000e+00,1.737250939451122633e-01,8.703763064484364431e-01
2.124658924883678079e-01,0.000000000000000000e+00,5.770980225923333373e-01,8.034478630059649351e-01,2.777503343729801344e-01,2.436754802174037060e-01,9.301933775084056943e-01,8.333191747135555438e-01,6.474889213442300839e-01,9.651244853902893883e-01,9.033598580935287004e-01,0.000000000000000000e+00,1.630136873380685358e-01,8.783018309066016327e-01
1.782483667697740415e-01,0.000000000000000000e+00,5.770980225923333373e-01,8.111290341849335395e-01,2.898837163595944233e-01,2.954219514245712830e-01,9.572229154080166280e-01,8.776429874679104737e-01,6.554434503062829265e-01,1.000000000000000222e+00,8.887757413488990288e-01,0.000000000000000000e+00,1.536762947708680827e-01,8.875072835759151291e-01
1.802117533429427321e-01,0.000000000000000000e+00,5.770980225923333373e-01,8.070914404358298100e-01,2.955288989202635719e-01,3.441192806255268799e-01,9.705548422940921682e-01,9.108602798132855449e-01,6.533285669500598081e-01,9.370174799449293435e-01,8.826338930549426642e-01,0.000000000000000000e+00,1.464041750809172981e-01,8.982123495029642468e-01
